DATE,IG
10/28/11,349.05
10/31/11,351.54
11/1/11,353.77
11/2/11,354.25
11/3/11,352.99
11/4/11,353.17
11/7/11,353.99
11/8/11,352.2
11/9/11,353.45
11/10/11,351.37
11/11/11,350.46
11/14/11,351.13
11/15/11,350.24
11/16/11,350.22
11/17/11,350.79
11/18/11,348.73
11/21/11,348.46
11/22/11,348.23
11/23/11,348.83
11/24/11,347.95
11/25/11,346.92
11/28/11,347.42
11/29/11,346.32
11/30/11,345.36
12/1/11,345.16
12/2/11,347.99
12/5/11,349.27
12/6/11,348.41
12/7/11,350.19
12/8/11,351
12/9/11,349.03
12/12/11,349.68
12/13/11,351.22
12/14/11,352.29
12/15/11,351.79
12/16/11,353.32
12/19/11,353.49
12/20/11,351.44
12/21/11,350.56
12/22/11,351.4
12/23/11,349.6
12/26/11,349.98
12/27/11,350.6
12/28/11,353.32
12/29/11,353.82
12/30/11,354.55
1/2/12,354.6
1/3/12,353.5
1/4/12,352.87
1/5/12,352.73
1/6/12,353.92
1/9/12,354.36
1/10/12,354.51
1/11/12,356.06
1/12/12,355.74
1/13/12,357.19
1/16/12,357.17
1/17/12,357.87
1/18/12,357.15
1/19/12,356.33
1/20/12,355.23
1/23/12,354.93
1/24/12,355.24
1/25/12,356.93
1/26/12,359.64
1/27/12,360.71
1/30/12,361.95
1/31/12,363.14
2/1/12,362.65
2/2/12,364.04
2/3/12,362.14
2/6/12,363.56
2/7/12,362.28
2/8/12,362.55
2/9/12,361.97
2/10/12,363.57
2/13/12,363.34
2/14/12,364.66
2/15/12,363.94
2/16/12,362.27
2/17/12,362.38
2/20/12,361.79
2/21/12,362.05
2/22/12,362.94
2/23/12,363.46
2/24/12,364.13
2/27/12,365.77
2/28/12,366.33
2/29/12,366.1
3/1/12,364.98
3/2/12,366.2
3/5/12,365.7
3/6/12,366.14
3/7/12,365.75
3/8/12,364.77
3/9/12,364.46
3/12/12,364.64
3/13/12,363.04
3/14/12,359.94
3/15/12,360.13
3/16/12,360.21
3/19/12,358.76
3/20/12,358.73
3/21/12,360.5
3/22/12,360.51
3/23/12,361.26
3/26/12,361.61
3/27/12,363.13
3/28/12,362.94
3/29/12,363.54
3/30/12,362.17
4/2/12,362.82
4/3/12,360.68
4/4/12,361.35
4/5/12,362.61
4/6/12,365.16
4/9/12,365.29
4/10/12,365.72
4/11/12,364.75
4/12/12,364.82
4/13/12,365.83
4/16/12,366.42
4/17/12,365.69
4/18/12,366.26
4/19/12,367.06
4/20/12,366.79
4/23/12,367.5
4/24/12,366.73
4/25/12,366.75
4/26/12,367.49
4/27/12,368.43
4/30/12,369.2
5/1/12,368.49
5/2/12,369.6
5/3/12,369.75
5/4/12,370.67
5/7/12,370.71
5/8/12,371.59
5/9/12,371.42
5/10/12,371.12
5/11/12,371.86
5/14/12,372.24
5/15/12,371.69
5/16/12,371.07
5/17/12,371.3
5/18/12,370.15
5/21/12,368.91
5/22/12,367.71
5/23/12,368.95
5/24/12,368.23
5/25/12,368.71
5/28/12,368.84
5/29/12,369.44
5/30/12,371.55
5/31/12,372.33
6/1/12,374.42
6/4/12,372.63
6/5/12,371.92
6/6/12,370.24
6/7/12,370.97
6/8/12,371.5
6/11/12,372.55
6/12/12,370.86
6/13/12,372.32
6/14/12,372.07
6/15/12,373.15
6/18/12,373.29
6/19/12,372.89
6/20/12,372.94
6/21/12,373.64
