DATE,WSWP2
2011-10-28,0.63
2011-11-04,0.58
2011-11-11,0.62
2011-11-18,0.74
2011-11-25,0.80
2011-12-02,0.72
2011-12-09,0.67
2011-12-16,0.70
2011-12-23,0.75
2011-12-30,0.77
2012-01-06,0.72
2012-01-13,0.62
2012-01-20,0.58
2012-01-27,0.56
2012-02-03,0.51
2012-02-10,0.53
2012-02-17,0.58
2012-02-24,0.60
2012-03-02,0.56
2012-03-09,0.56
2012-03-16,0.61
2012-03-23,0.63
2012-03-30,0.58
2012-04-06,0.61
2012-04-13,0.58
2012-04-20,0.57
2012-04-27,0.57
2012-05-04,0.55
2012-05-11,0.58
2012-05-18,0.65
2012-05-25,0.64
2012-06-01,0.62
2012-06-08,0.59
2012-06-15,0.58
2012-06-22,0.54
2012-06-29,0.55
2012-07-06,0.53
2012-07-13,0.50
2012-07-20,0.46
2012-07-27,0.45
2012-08-03,0.43
2012-08-10,0.46
2012-08-17,0.48
2012-08-24,0.47
2012-08-31,0.43
2012-09-07,0.40
2012-09-14,0.39
2012-09-21,0.38
2012-09-28,0.40
2012-10-05,0.38
2012-10-12,0.38
2012-10-19,0.38
2012-10-26,0.40
2012-11-02,0.39
2012-11-09,0.37
2012-11-16,0.37
2012-11-23,0.39
2012-11-30,0.39
2012-12-07,0.36
2012-12-14,0.36
2012-12-21,0.39
2012-12-28,0.41
2013-01-04,0.39
2013-01-11,0.39
2013-01-18,0.38
2013-01-25,0.40
2013-02-01,0.43
2013-02-08,0.41
2013-02-15,0.42
2013-02-22,0.41
2013-03-01,0.39
2013-03-08,0.38
2013-03-15,0.40
2013-03-22,0.41
2013-03-29,0.42
2013-04-05,0.39
2013-04-12,0.37
2013-04-19,0.37
2013-04-26,0.36
2013-05-03,0.35
2013-05-10,0.36
2013-05-17,0.38
2013-05-24,0.39
2013-05-31,0.46
2013-06-07,0.46
2013-06-14,0.48
2013-06-21,0.46
2013-06-28,0.55
2013-07-05,0.53
2013-07-12,0.52
2013-07-19,0.49
2013-07-26,0.49
2013-08-02,0.49
2013-08-09,0.48
2013-08-16,0.51
2013-08-23,0.55
2013-08-30,0.55
2013-09-06,0.62
2013-09-13,0.60
2013-09-20,0.52
2013-09-27,0.48
2013-10-04,0.46
2013-10-11,0.48
2013-10-18,0.47
2013-10-25,0.44
2013-11-01,0.43
2013-11-08,0.42
2013-11-15,0.41
